"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.8.78",-0.043274,0.04857,-0.078212,-0.073303,0.0097831,-0.056793,-0.094025,0.011312,0.045073,0.018717,0.030078,0.022899,-0.040396,0.0033345,-0.046938,0.085234,0.14878,0.08707,-0.14366,-0.14765,-0.056092,0.019513,0.058507,-0.1104,-0.0022999,0.13981,0.099981,0.087494,-0.026463,-0.043621,0.10086,0.023355,0.16449,0.051036,-0.12651,0.014635,-0.12522,0.13824,-0.076823,0.1638,-0.048947,-0.043275,-0.15087,0.049109,0.012926,-0.034654,-0.089563,0.11417,0.13719,-0.02536
"Bin.8.74",-0.061418,0.043015,-0.15382,-0.30038,0.058838,0.088979,-0.01146,0.078332,-0.22336,-0.015277,0.05714,0.10644,-0.16335,0.12898,0.05086,0.072903,0.011183,0.062168,-0.048897,-0.18435,-0.14654,0.10922,-0.010548,-0.10385,-0.13529,0.045031,0.076864,-0.030821,0.040437,-0.12277,-0.003882,-0.069542,-0.083207,-0.10064,0.031323,0.024209,0.0093873,-0.0028292,0.021829,-0.10594,-0.11716,0.00033686,-0.072405,0.057245,0.092807,0.007299,-0.0082008,0.020896,-0.086592,0.10734
"Bin.8.70",-0.053284,0.027499,-0.17285,-0.25066,0.038295,0.094498,0.026505,0.11273,-0.19941,0.0039519,0.044042,0.13881,-0.15531,0.030625,0.11239,0.004303,-0.11088,-0.059313,0.056072,-0.057271,0.0070198,0.028704,-0.11342,0.079578,0.12277,-0.1026,-0.029105,0.10183,0.04753,0.0071927,-0.055327,-0.021236,-0.16767,0.04741,0.094678,0.18607,0.036043,0.035166,-0.047237,0.077732,0.15469,0.21707,-0.0076542,-0.01918,-0.016382,0.095405,-0.025291,0.10153,0.032764,-0.19226
"Bin.8.66",-0.048524,0.044606,-0.088217,-0.09095,0.003369,-0.035024,-0.057492,0.029779,0.0024409,0.021746,0.02043,0.047488,0.048681,0.027305,0.029631,-0.048824,0.050444,0.045178,-0.037775,-0.050828,-0.062196,-0.01874,-0.0025025,0.018659,-0.029856,-0.010982,0.047558,0.029858,0.0085835,0.059228,-0.024852,0.020324,-0.024523,0.039052,-0.003162,0.013857,0.018807,0.017931,-0.015772,0.087276,0.066794,-0.017678,0.0085278,-0.033316,0.052208,-0.032516,-0.030503,0.057541,0.013625,-0.079466
"Bin.8.62",-0.045238,0.037856,-0.11613,-0.22437,0.02133,0.057307,-0.062054,0.16041,-0.13374,-0.080772,0.040176,0.15093,-0.015191,-0.042812,-0.029602,-0.20831,0.037046,0.0081905,0.073837,-0.082958,-0.03237,-0.023908,-0.13312,0.1016,0.011427,0.078678,0.19164,-0.042328,0.16321,-0.020398,-0.027626,0.084544,0.057932,-0.014764,0.028013,-0.051526,0.038308,-0.039268,0.13613,-0.013042,-0.0087985,-0.035666,0.012376,0.0071113,-0.024249,0.075056,-0.023911,0.0060714,0.038958,0.22182
"Bin.8.58",-0.051097,0.043432,-0.062792,-0.10635,0.0092846,-0.019948,-0.051237,0.077239,-0.0066196,0.0050561,0.0098759,-0.00040932,0.050203,0.022811,-0.040516,-0.067144,0.036546,0.070944,-0.043929,0.059623,0.0019978,-0.0090857,0.057203,-0.011123,-0.041014,-0.03509,0.04986,-0.043351,-0.00013027,0.044869,0.011927,0.034697,0.046293,0.024443,-0.015909,-0.017788,0.056097,0.0068287,0.023856,-0.060412,0.049431,0.0025425,0.043737,0.013857,-0.0068208,-0.028724,-0.071278,0.0065451,-0.030521,0.014026
"Bin.8.54",-0.028134,-0.016972,0.041694,-0.0081409,0.043759,-0.020837,-0.093179,0.13669,0.019998,0.010197,0.12441,0.031621,0.016613,0.025961,-0.010194,-0.011724,0.049928,0.12681,-0.03475,0.0044661,0.023828,-0.033116,-0.019052,-0.020985,-0.02771,-0.060358,-0.0032929,0.0027027,-0.016418,0.099331,0.022664,0.094613,0.023619,-0.039551,-0.050484,-0.021191,0.046622,-0.053217,-0.12696,0.010115,0.088673,0.059637,0.094712,0.009762,0.019219,0.066107,0.094101,-0.076121,-0.12144,0.017562
"Bin.8.50",-0.043666,0.027111,-0.015399,-0.045025,0.00042572,-0.024449,-0.10241,0.096098,0.017607,0.050232,0.09616,0.0030685,0.03242,0.065761,-0.027708,-0.014427,0.063806,0.10755,-0.014208,0.010217,-0.0365,-0.035075,0.023199,-0.042273,-0.032565,-0.0083727,-0.0036382,0.004902,0.015376,0.080223,0.053175,0.051684,0.01185,-0.081952,0.033959,0.058045,0.013197,-0.085471,-0.13019,0.048402,0.057127,0.025946,0.11248,-0.041462,-0.17382,0.0062465,0.075785,0.059511,0.063493,-0.08175
"Bin.8.46",-0.026578,0.027664,-0.016845,-0.016642,-0.017581,-0.0039712,-0.019762,0.044405,0.011656,0.097391,0.038228,0.0041498,0.060462,0.099356,0.12295,0.028179,-0.042117,0.055987,0.021472,-0.026982,0.14521,-0.017353,0.058556,0.022189,-0.015103,0.062304,0.08099,-0.080791,-0.058581,0.0013247,-0.046654,-0.0082948,0.12349,0.082694,-0.010913,-0.02457,0.065314,0.24419,0.096919,-0.090941,0.04608,-0.021611,0.050873,-0.036392,-0.018657,-0.11807,0.13569,0.11157,0.052905,-0.1099
"Bin.8.42",-0.036784,0.05621,-0.08835,-0.13568,-0.0069473,-0.04358,-0.048429,0.091753,-0.017633,0.036706,-0.0083097,-0.018803,0.050553,0.055043,-0.024101,-0.055957,0.095476,0.10864,-0.086425,0.066069,-0.020108,-0.018761,0.090893,-0.069679,-0.067728,0.039027,0.010728,-0.0044118,-0.028771,-0.030308,0.0024821,0.076811,0.058693,0.030687,0.046511,-0.020568,-0.044773,0.028362,0.0084029,-0.066848,-0.0076042,-0.10982,-0.062608,0.026995,-0.053208,-0.029573,0.046478,-0.053391,-0.13898,0.030432
