"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.3.94",-0.016847,0.0058525,-0.010367,-0.015373,-0.0028718,-0.099065,-0.011017,-0.0018121
"Bin.3.90",0.035017,0.027372,7.0315e-05,0.0046706,0.02303,-0.080307,0.0016248,-0.024871
"Bin.3.86",0.031619,0.029356,-0.00028938,0.010549,0.0055753,-0.042043,-0.029205,-0.046068
"Bin.3.82",0.0090598,0.026158,0.0070528,0.019715,0.0043565,-0.031381,-0.0068524,-0.057427
"Bin.3.78",0.014703,0.019707,0.001662,-0.0091173,0.0059065,0.010934,-0.051856,-0.046825
"Bin.3.74",0.049126,0.019842,0.0025447,0.007193,0.030441,-0.0016404,-0.050696,-0.0027387
"Bin.3.70",0.036798,0.028546,0.019902,0.03476,0.035557,-0.027349,-0.0081294,0.0057659
"Bin.3.66",0.011954,0.010548,0.025654,0.01161,0.014738,0.007677,0.021986,0.025392
"Bin.3.62",0.017043,0.013072,0.031043,0.017364,-0.0017072,-0.04465,0.058421,0.0025155
"Bin.3.58",-0.023459,0.003489,-0.019862,-0.024016,-0.052731,-0.087419,0.0051339,-0.047311
"Bin.3.54",0.036042,0.019818,0.0030148,0.026898,0.016941,-0.082326,0.015702,-0.012382
"Bin.3.50",0.039519,0.028509,-0.018292,0.028515,0.013356,-0.1096,-0.029159,-0.0097438
"Bin.3.46",0.025527,0.027548,-0.0248,0.018033,0.023579,-0.079517,-0.066187,-0.0094648
"Bin.3.42",0.017256,0.019879,-0.043971,-0.0048564,0.042991,-0.039299,-0.078543,0.01726
"Bin.3.38",0.033795,0.029925,-0.0099715,-0.020707,0.012734,-0.046652,0.0053527,-0.02637
"Bin.3.34",-0.021632,0.0034006,-0.012751,-0.05022,-0.04711,-0.017454,0.050548,0.01725
"Bin.3.30",-0.0013335,-0.01461,-0.0048799,-0.03613,-0.053039,-0.02338,0.0017801,0.0056263
"Bin.3.26",-0.0067251,-0.013868,-0.014627,0.02591,0.04599,0.054987,-0.031132,0.062387
"Bin.3.22",0.01961,0.026801,-0.031693,0.021157,0.071579,0.012513,0.0089995,0.07008
"Bin.3.18",-0.03656,0.011468,-0.026685,-0.00051768,0.025885,0.029738,0.00022818,0.012653
"Bin.3.14",-0.043055,-0.0086281,-0.033569,-0.025654,-0.037252,0.023666,-0.013218,0.0067012
"Bin.3.10",0.026993,0.011648,0.0039814,-0.010005,-0.040506,0.0085951,0.0056243,0.01276
"Bin.3.06",-0.035015,-0.0116,0.0017179,-0.018093,-0.045682,0.10686,-0.0032474,0.00033212
"Bin.3.02",-0.028779,0.0051225,0.011195,-0.002616,0.041344,0.0018197,0.048779,0.011563
"Bin.3.04",-0.037889,-0.01081,0.0043411,-0.017455,-0.030382,0.095014,0.0041627,-0.00085786
"Bin.2.98",0.040642,0.022493,-0.024094,0.014059,0.0088207,-0.021975,0.058549,-0.013921
"Bin.2.94",0.0077469,0.012999,-0.040501,0.0070444,-0.002252,-0.03532,0.041997,-0.0088414
"Bin.2.90",-0.012543,0.011224,-0.0089222,-0.006651,0.036717,-0.056434,-0.01369,0.038771
"Bin.2.86",0.019952,0.016919,-0.016582,0.037405,0.047269,-0.0038091,0.018611,0.03074
"Bin.2.82",0.0016194,0.009483,-0.014892,0.011823,0.02241,-0.023184,0.057075,-0.015008
"Bin.2.78",0.013597,0.0095623,-0.009978,0.010551,0.0067157,-0.022434,0.061967,-0.012145
